Time,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.0,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.02,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.04,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.06,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.08,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.1,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.12,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.14,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.16,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.18,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.2
12.874999999999966,107.80555536016823,99.03628637028005,90.34515338269894,81.80853223225144,73.50337533513846,65.50437078992648,57.88100860790237,50.69478126544072,43.99674991838292,37.82568080770223,32.20690112893431
12.916666666666632,107.818892605963,98.99887769599277,90.26145086388115,81.68389016526919,73.34390960161804,65.31676330860883,57.67226770406898,50.47197458419174,43.766730550198204,37.594828749210194,31.98090070545329
12.958333333333298,107.83217767541943,98.96165264085623,90.17825036848171,81.5601432274121,73.1857930569286,65.13100080104225,57.465885610842896,50.25203215120872,43.54004537071361,37.36771991042327,31.75897011777108
12.999999999999964,107.84541075947018,98.92461017701054,90.0955481092744,81.43728287317771,73.02901000584615,64.94705777348818,57.26182433178474,50.03490096083003,43.316624332172616,37.14426590430602,31.541002287164392
13.04166666666663,107.85859204845558,98.88774928350004,90.01334033565784,81.31530066379223,72.87354499381242,64.76490919789684,57.06004668038986,49.82052930560459,43.09639933382919,36.924381103466494,31.32689385743714
13.083333333333297,107.87172173212453,98.85106894621661,89.93162333321371,81.19418826554723,72.7193828023353,64.58453050131612,56.86051625861436,49.608866736780485,42.87930415475768,36.70798253327794,31.116545034540486
13.124999999999963,107.8847999996355,98.81456815784327,89.85039342327124,81.07393744816736,72.56650844449446,64.40589755558825,56.663197436080694,49.399864026227945,42.66527438942618,36.49498976992946,30.909859434413708
13.166666666666629,107.89782703955757,98.77824591779857,89.76964696247812,80.95454008320853,72.41490716054899,64.22898666732513,56.46805532993805,49.193473129736304,42.45424738590148,36.28532484314255,30.706743938558517
13.208333333333295,107.91080303987131,98.74210123218145,89.68938034237748,80.83598814248568,72.26456441364513,64.05377456815364,56.275055785353395,48.98964715162735,42.24616218656123,36.07891214330618,30.507108556892128
13.249999999999961,107.9237281879698,98.70613311371662,89.609589988991,80.71827369652964,72.11546588562054,63.880238405222315,56.08416535661037,48.78834031063048,42.040959471195244,35.87567833279807,30.310866297454567
13.291666666666627,107.93660267065962,98.67034058170049,89.53027236240804,80.60138891307247,71.96759747290328,63.70835573196153,55.89535128879408,48.58950790696732,41.83858150238458,35.675552261273666,30.11793304257402
13.333333333333293,107.9494266741619,98.63472266194765,89.4514239563805,80.48532605556059,71.82094528250266,63.53810449908911,55.708581500040566,48.393106290596165,41.63897207305252,35.478464884717205,29.928227431119712
13.37499999999996,107.96220038411319,98.59927838673788,89.37304129792362,80.37007748169509,71.67549562808972,63.369463045853784,55.52382456433094,48.199092830568816,41.44207645608753,35.284349188061405,29.741670746496087
13.416666666666625,107.9749239855666,98.56400679476369,89.29512094692242,80.25563564199882,71.53123502616484,63.20241009150937,55.341049694810565,48.00742588545468,41.247841355943116,35.093140111193556,29.558186810054334
13.458333333333291,107.9875976629928,98.52890693107825,89.2176594957437,80.14199307840944,71.3881501923105,63.03692472701244,55.16022672761493,47.818064774788915,41.05621486212499,34.90477447817637,29.37770187961794
13.499999999999957,108.00022160028095,98.49397784704408,89.14065356885347,80.02914242289809,71.24622803752675,62.87298640693676,54.9813261061841,47.630969751503535,40.867146404479826,34.719190929521844,29.200144552838342
13.541666666666623,108.01279598073985,98.45921860028194,89.06409982243994,79.91707639611298,71.10545566464724,62.71057494159788,54.8043188660488,47.446101975302255,40.68058671020513,34.53632985736551,29.025445675114575
13.58333333333329,108.02532098709884,98.42462825462044,88.98799494404173,79.80578780604753,70.96582036483412,62.5496704893816,54.62917662007163,47.26342348694159,40.496487762503044,34.35613334339731,28.853538251827384
13.624999999999956,108.03779680150895,98.39020588004608,88.91233565218133,79.69526954673238,70.82730961414939,62.390253549270014,54.45587154412746,47.08289718338232,40.31480276080556,34.17854509941319,28.68435736465375
13.666666666666622,108.05022360554389,98.35595055265375,88.8371186960037,79.5855145969509,70.68991107020078,62.232304953559535,54.28437636320812,46.90448679377731,40.13548608250158,34.00351041035928,28.517840091742315
13.708333333333288,108.06260158020109,98.32186135459766,88.7623408549199,79.4765160189777,70.5536125688607,62.07580586076475,54.11466433793646,46.72815685626294,39.95849324610034,33.830976079747586,28.35392543154339
13.749999999999954,108.07493090590278,98.28793737404287,88.68799893825579,79.36826695733954,70.41840212105588,61.92073774870304,53.94670925147605,46.55387269552291,39.783780875768535,33.6608903773287,28.192554230099805
13.79166666666662,108.08721176249703,98.25417770511721,88.61408978490549,79.26076063759832,70.2842679096262,61.7670824077542,53.78048539682288,46.38160040109473,39.6113066671818,33.493202988913524,28.03366911161662
13.833333333333286,108.09944432925886,98.22058144786368,88.54061026298983,79.15399036515562,70.15119828625105,61.614821934290255,53.61596756446621,46.211306806390105,39.44102935463412,33.327864968241634,27.877214412138407
13.874999999999952,108.11162878489121,98.18714770819331,88.46755726951935,79.04794952407838,70.01918176844131,61.463938724270285,53.45313103040604,46.042959468402366,39.2729086793513,33.164828690799595,27.723136116173034
13.916666666666618,108.12376530752609,98.1538755978384,88.39492773006208,78.9426315759452,69.8882070365955,61.31441546699546,53.29195154451528,45.87652664807442,39.10690535895756,33.00404780949767,27.571381796110394
13.958333333333284,108.13585407472567,98.12076423430636,88.32271859841595,78.838030058713,69.7582629311184,61.166235139019754,53.13240531923517,45.7119772913025,38.94298105804641,32.845477212118304,27.421900554293273
13.99999999999995,108.14789526348329,98.08781274083388,88.25092685628552,78.73413858560347,69.62933844960062,61.01938099821164,52.97446901859268,45.549281010551866,38.78109835980965,32.689072980454185,27.274642967605946
14.041666666666616,108.15988905022463,98.05502024634156,88.17954951296339,78.63095084400896,69.50142274405779,60.87383657796257,52.81811974752951,45.38840806706137,38.621220738680215,32.534792351058286,27.129561034453687
14.083333333333282,108.17183561080874,98.02238588538899,88.10858360501578,78.52846059441742,69.3745051182275,60.729585681538,52.663335041532115,45.229329353615185,38.463312533947054,32.38259367753205,26.98660812401375
14.124999999999948,108.18373512052918,97.98990879813019,88.03802619597259,78.42666166935605,69.24857502492314,60.58661237656677,52.51009285655323,45.07201637786067,38.30733892430178,32.232436394281876,26.845738927645048
14.166666666666615,108.19558775411507,97.95758813026964,87.9678743760215,78.32554797235316,69.12362206344272,60.44490098966508,52.35837155921504,44.916441246152196,38.153265903279,32.084280981677765,26.706909412350214
14.20833333333328,108.20739368573226,97.92542303301853,87.8981252617064,78.22511347691808,68.99963597703164,60.30443610119105,52.208149917285134,44.762576647901845,38.00106025555401,31.938088932551015,26.570076776189527
14.249999999999947,108.21915308898437,97.8934126630515,87.82877599562981,78.12535222553844,68.87660665039809,60.16520254012637,52.05940709041631,44.610395840418335,37.85068953406306,31.793822719971523,26.435199405551963
14.291666666666613,108.23086613691397,97.86155618246391,87.75982374615941,78.02625832869475,68.75452410727972,60.02718537908133,51.91212262114162,44.45987263421671,37.702122037913,31.651445766247942,26.30223683419366
14.333333333333279,108.24253300200365,97.82985275872929,87.6912657071385,77.92782596389198,68.63337850806039,59.890369929419776,51.766276426116804,44.31098137878159,37.55532679104896,31.510922413096864,26.17114970395915
14.374999999999945,108.25415385617717,97.79830156465736,87.62309909760033,77.83004937470739,68.51316014743571,59.75474173650076,51.62184878760185,44.16369694876798,37.410273521649586,31.372217892929946,26.04189972710518
14.416666666666611,108.26572887080054,97.76690177835238,87.55532116148638,77.73292286985479,68.39385945212655,59.620286575033504,51.47882034517433,44.01799473062376,37.26693264222125,31.235298301210477,25.914449650151457
14.458333333333277,108.27725821668325,97.73565258317194,87.4879291673683,77.63644082226457,68.27546697863879,59.486990444542585,51.33717208766719,43.873850609619176,37.12527523036371,31.100130569833038,25.788763219186535
14.499999999999943,108.28874206407927,97.70455316768604,87.42092040817374,77.54059766817934,68.15797341106881,59.3548395649404,51.19688534532378,43.731240957268696,36.985273010180876,30.966682441482526,25.664805146560926
14.54166666666661,108.30018058268833,97.67360272563667,87.3542922009156,77.44538790626478,68.04136955895324,59.223820372203804,51.05794178216347,43.590142619131655,36.846898334311526,30.83492244493064,25.542541078903295
14.583333333333275,108.3115739416569,97.64280045589769,87.28804188642513,77.3508060967355,67.92564635516216,59.09391951415214,50.9203233885512,43.450532902978395,36.710124166556206,30.704819871230136,25.421937566398647
14.624999999999941,108.32292230957948,97.61214556243509,87.22216682908856,77.25684686049551,67.81079485383457,58.96512384632399,50.78401247396473,43.31238956730905,36.574924065077134,30.576344750769007,25.302962033270916
